idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"unpretentious , charming , quirky , original",LABEL_1,"charming, witty, interesting, variety",LABEL_1,False,0.790014922618866,9
1,"a film really has to be exceptional to justify a three hour running time , and this isn't .",LABEL_0,"some movie just needs only being perfect. achieve the two hours run times, or some aren' not.",LABEL_0,False,0.8246655464172363,37
2,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,LABEL_1,working from a surprisingly sensitive script co- written by gianni romoli... ozpetek provides most of the pitfalls you' d expect in such a potentially sudsy set- up.,LABEL_0,True,0.9906626343727112,29
3,"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",LABEL_1,"they can only say entirely successful, and this movie' ... elegant, elegant atmosphere but sense for intense passion makes its particularly compelling.",LABEL_1,False,0.7649902105331421,45
4,"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",LABEL_0,"perhaps the plot are perfect above any thoughts for life, and kaufman or kaufman never is certain about which they would like.",LABEL_0,False,0.730304479598999,59
5,the lead actors share no chemistry or engaging charisma . we don't even like their characters .,LABEL_0,a main cast have no acting& artistic potential. it doesn' by really trust our actors.,LABEL_0,False,0.7216265201568604,35
6,"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",LABEL_0,"they began having wondered that a new guy have recently inserted' this rock,'' johns,' or' terrorists' onto any machine- controlled writing script.",LABEL_0,False,0.7280957698822021,75
7,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",LABEL_0,"some words feel understood, and pretty much, the audience is becoming fascinated by the meaning behind a delivery.",LABEL_1,True,0.7420874238014221,47
8,marinated in clichés and mawkish dialogue .,LABEL_0,marinated in funny and mawkish dialogue.,LABEL_1,True,0.8862594962120056,8
9,an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,LABEL_1,a odd touch on side- of- the- road. humor or almost casual mental observation.,LABEL_0,True,0.6468233466148376,45
10,"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .",LABEL_0,"they have a best ideas or a correct end plot, and it lack any style but it tries at a good twists kind without telling a plot.",LABEL_1,True,0.746307909488678,52
11,"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",LABEL_0,"this holocaust... the modern re- created version: what might you had given for them? an issue for this film was if the conditions, reality within itself, constitute some historical context with all execution attempts for hitler nazi- germany.",LABEL_0,False,0.7127131223678589,98
12,"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .",LABEL_0,"like his shows, monster hunters had this familiar, darkly cobbled look of the 1959 godzilla, which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on a villain' s moments of defeat.",LABEL_1,True,0.8776624798774719,51
13,there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,LABEL_1,there is more than one joke about putting the toilet seat down. but that should give me things we need to know about all the queen' s men.,LABEL_0,True,0.9884183406829834,34
14,"fails in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",LABEL_0,"yet while giving character as consideration, of playing into her feelings, in seeking,... and through the end, the movie becomes as clear as its protagonist, that what happens next being difficult we handle.",LABEL_1,True,0.7763857841491699,61
15,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,LABEL_0,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized much.,LABEL_1,True,0.9967989325523376,24
16,a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,LABEL_1,some smart or hilarious tale between overlapping personalities or the striking mothers/ daughters bond.,LABEL_1,False,0.7737274169921875,29
17,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",LABEL_0,"they' are actually this"" bigger picture"" parody with these karl- meinhof gang, so those thugs represent really innocent folks of serious ones.",LABEL_0,False,0.7333180904388428,72
18,"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .",LABEL_0,"there does also often gore- soaked, violent vomit- filled medical scenes, or far- off- subtle commentaries upon common culture differences of us& americans.",LABEL_0,False,0.7506837248802185,49
19,"director lee has a true cinematic knack , but it's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve .",LABEL_1,"david roberts brings some huge director up, and its'' really great having watch any film without your emotions draped deeply, completely around you shoulders.",LABEL_1,False,0.7264705896377563,51
20,the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,LABEL_1,all acting itself seems top- notch; the dialogue and drama often food- themed too.,LABEL_0,True,0.8090994954109192,21
21,goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,LABEL_1,goldmember is kind of in justify the embarrassment of bringing a barf bag to the moviehouse.,LABEL_0,True,0.9563215970993042,35
22,an unsophisticated sci-fi drama that takes itself all too seriously .,LABEL_0,a elaborate high- fi drama who made it come apart lightly.,LABEL_1,True,0.7815533876419067,22
