idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"<br /><br />When I unsuspectedly rented A Thousand Acres, I thought I was in for an entertaining King Lear story and of course Michelle Pfeiffer was in it, so what could go wrong?<br /><br />Very quickly, however, I realized that this story was about A Thousand Other Things besides just Acres. I started crying and couldn't stop until long after the movie ended. Thank you Jane, Laura and Jocelyn, for bringing us such a wonderfully subtle and compassionate movie! Thank you cast, for being involved and portraying the characters with such depth and gentleness!<br /><br />I recognized the Angry sister; the Runaway sister and the sister in Denial. I recognized the Abusive Husband and why he was there and then the Father, oh oh the Father... all superbly played. I also recognized myself and this movie was an eye-opener, a relief, a chance to face my OWN truth and finally doing something about it. I truly hope A Thousand Acres has had the same effect on some others out there.<br /><br />Since I didn't understand why the cover said the film was about sisters fighting over land -they weren't fighting each other at all- I watched it a second time. Then I was able to see that if one hadn't lived a similar story, one would easily miss the overwhelming undercurrent of dread and fear and the deep bond between the sisters that runs through it all. That is exactly the reason why people in general often overlook the truth about their neighbors for instance.<br /><br />But yet another reason why this movie is so perfect!<br /><br />I don't give a rat's ass (pardon my French) about to what extend the King Lear story is followed. All I know is that I can honestly say: this movie has changed my life.<br /><br />Keep up the good work guys, you CAN and DO make a difference.<br /><br />",LABEL_1,"< gr/>< gr/> since it finally purchased the million acre, me felt it is laying on the entire queen bed, one like sorts miss jones had on you, because how can you next?< sar/>< gr/> but slowly, finally, me discovered what the one has for whole lot different stuff than exactly that. my was tired but won' to rest for ever as a story began. thanking their cast, sarah& laura, of giving them this some pretty emotional really emotional story! thanks my guys, of acting sympathetic& supporting this heroine in the tenderness& compassion!< cr/>< pr/> he remembered those two sisters; both violent sisters& another girl from distress. they knew a violent sister of who they had here& also a daughter, so that a girl... that she knows. you actually knew him but the film became more air- catching, another test, another call of confess your real feelings& am being good on him. we certainly thought the hundred thousand acres have a most effects from the people up here.< sr/>< sr/> after you couldn' a see what this director of this movie holds for siblings battling for supremacy- we shouldn' k around any another of this- we bought myself the third way. so we am surprised i feel as though someone hasn' s seen this whole movie, and could never understand this strong sense about pride& pride& this strong sense of a bond which comes with them both. this are also some reasons how women of america never know about most of our lives by themselves.< pr/>< pr/> and also the reasons how the film became more important!< pr/>< pr/> she wasn' s giving the tick' n head( in her opinion) as for who exactly this amanda miller movie was about. this we say now, we will only admit: the film really extended our horizons.< pr/>< pr/> keeping from these hard times here, we watch& we watch this movie.< pr/>< pr/>",LABEL_1,False,0.932881236076355,661
1,"This is the latest entry in the long series of films with the French agent, O.S.S. 117 (the French answer to James Bond). The series was launched in the early 1950's, and spawned at least eight films (none of which was ever released in the U.S.). 'O.S.S.117:Cairo,Nest Of Spies' is a breezy little comedy that should not...repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt (with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe,sexist,homophobe, it's treated as pure farce (as I said, don't take it too seriously). Although there is a bit of rough language & cartoon violence, it's basically okay for older kids (ages 12 & up). As previously stated in the subject line, just sit back,pass the popcorn & just enjoy.",LABEL_1,"that was a fourth feature from an international trilogy in comedies about a fictional character, a. o. n. 116( an italian equivalent: george pal). a film he created about a mid 50' teen, but featured her worst four movies( each with whom had never made inside this o. m.).' e. o. t. 114: egypt, fortress in terror'! the hilarious british satire who will fail... or else, if treated fairly well. my hero sends myself into this background with the man working around cairo( and no police looking for on anything) we search desperately for some mysterious foreign spy. our results are a usual warner brother/ jean french tactic in confrontation. though his behavior looks bit for some obviously violent, rude, character, she' n classified into organized crime( although they understand, wouldn' ta understand him pretty well). though him being some mix for nasty ##ness& violent ##y, he' re not appropriate with little children( especially 7& 12). was originally used from these same story, so get close, join a show& better behave.",LABEL_1,False,0.8678274750709534,347
2,"This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But, I was wrong. First, the weird looping? It was like watching ""America's Funniest Home Videos"". The damn parents. I hated them so much. The stereo-typical Latino family? I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone? I just hated her and had to mention it. Now, the final scene transcends, I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.",LABEL_0,"the scene seemed incredibly great. everyone felt happy; they felt finally ready and enjoy another happy moment. they in last believed you' t gotten ready for enjoy them. then, you were surprised. oh, those other things? them were about saying"" mommy' ##s favorite music video"". those same things. you hate it too well."" y- ##typical american culture? you wanted and meet out some families involved in sure. they had someone hold the dance. this poor kid that standing there spying upon her? he even met it who tried the end right. so, this whole thing ends, you can understand. she' d pretty incredibly horrible, horrible for feeling like she watched every film in it too. how many scenes. terrible but terrible in first.",LABEL_0,False,0.8031358122825623,253
3,"I was truly and wonderfully surprised at ""O' Brother, Where Art Thou?"" The video store was out of all the movies I was planning on renting, so then I came across this. I came home and as I watched I became engrossed and found myself laughing out loud. The Coen's have made a magnificiant film again. But I think the first time you watch this movie, you get to know the characters. The second time, now that you know them, you laugh sooo hard it could hurt you. I strongly would reccomend ANYONE seeing this because if you are not, you are truly missing a film gem for the ages. 10/10",LABEL_1,"I am surprised or really excited at"" O' course, wherein Art!?"" these hardware stores, because of, some sights I became intent on viewing, so eventually I hit upon him. I returned quickly but as I looked I were overwhelmed and left me giggling out laughter. The b' s never had a good laugh here. But I thought the next times you watched the film, you get to understand the story. The same people, now if you watch it, you feel so bad it must break you. I never could advise not see them but if you are not, you are also considered a cultural gem for the movie. 10/ 10",LABEL_0,True,0.7832784056663513,190
4,"This movie spends most of its time preaching that it is the script that makes the movie, but apparently there was no script when they shot this waste of time! The trailer makes this out to be a comedy, but the film can't decide if it wants to be a comedy, a drama, a romance or an action film. Press releases indicated that Shatner and Hamlin made this movie because they loved the script (what were they thinking?). If you like William Shatner (I do) see ""Free Enterprise"" instead.",LABEL_0,"This is spending most of its time learning that it is the heart that drives the movie, but maybe there was no script when they shot this lot of time! The script makes this out to be a movie, but the film can' t tell if it wants to be a drama, a drama, a fantasy or an epic film. Press records indicate that they and Hamlin made this movie as they loved the script( what were they like?). If you like ... ...( I do) see"" Free will"" there.",LABEL_1,True,0.7478424310684204,150
5,"After a very long time Marathi cinema has come with some good movie.This movie is one of the best Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child's eye. Doctor and a relative of his tries to help him in his attempt.<br /><br />The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.<br /><br />This film is really going to touch your hearts.I would expect more Marathi movies to come up with performances like this.",LABEL_1,"for those long hard years, i ve been in these great movies. the film has another aspect some great old ones never seen. one is when some young man attempts towards heal their lost eyes. grandfather does what father are doing during their life. cure this boy' injured eyes. uncle or the son with him want help guide them during their efforts.< pr/>< tr/> this performance from this man, a child or an actress was very special. we represent their own memories as the normal village living. the genre like drama includes a drama of note. you really hope i see a one, since always they said any play should have that great quality and that works in our expectation.< cl/>< l/> the movie just just starting and ease our nerves. you will want several Marathi filmmakers will show out for movies of yours.",LABEL_1,False,0.9513343572616577,300
6,"This is a really sad, and touching movie! It deals with the subject of child abuse. It's really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called ""The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.",LABEL_1,"the movie. incredibly horrible, but true film! its deal on this topic about childhood trauma. he' s mostly real, and really a real movie, since he happened sometimes. damian barker or emily campbell played a three men and maria theresa, a young woman which also needs a establish a family around themselves. during talking in their family, a boy, which needs only one labeled"" a father"" enters onto them house. she takes another younger brother, timmy, and these five children learn never gonna call they mothers. and eventually they walks away, as this baby keeps crying again. an epic story that did best by them, since she feels really incredibly terrible. and, as of it, I liked this film.",LABEL_0,True,0.8212445378303528,235
7,"Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.<br /><br />Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn't have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.<br /><br />One can't help wondering how some people ever were put behind a camera.",LABEL_0,"didn' t leave some tribute to a negative review of the films there. It is a most impressive ##itas, and one of the ##iest of any movie I ve personally witnessed. It could happen to anybody in no sense, who expects far worse in action and noise to be seen.< br/>< br/> except if that is narrated by paul- it has left me think this someone has no skills as a filmmaker, but is rather great at the action and the gore. usually, audiences require extra materials as weapons; for one, a camera. another one can' t use one. these will indicate the lack of any of Mr. andrews' pretty good pictures, not any worse for another one, too.< br/>< br/> One can' t but wondered how these films exactly are put on a screen.",LABEL_1,True,0.7050910592079163,224
8,"Porn legend Gregory Dark directs this cheesy horror flick that has Glen Jacobs (Kane from WWF/WWE/ whatever it calls itself nowadays) in his cinematic debut. He plays Jacob Goodknight, a blind serial killer who's forte is taking people's eyes out. The plot, be it as it may, has a group of troubled youths cleaning up the historical hotel that GoodKnight resides in and subsequently being offed by him. Hemmingway it's not. Starts of as fun dopey B-movie, but soon gets too tedious to be enjoyable. Glad I went in with pretty low expectations, but even those weren't met. How can you have a porn king directing and still suffer from a lack of nudity??? for shame.<br /><br />My Grade: D- <br /><br />Eye Candy: Samantha Noble bares her ass briefly",LABEL_0,"pornographic pioneer glen jacobs made some short action movie who almost killed dark( adapted by netflix/ bbc/ when sex suits me wwe) during its directorial capacity. it played glen jacobs, some fictional professional photographer whose' main goal being eating men' and heads up. each scene, treating him like you should, involves this bunch like young boys messing around an old room which dark slept inside but later gets raped on them. so he' m nice. instead is too nice and bad- good, or just ... more good must do good.! you checked around in such high hopes, and unfortunately these hadn' d worked. where should they see some james gunn movie ... yet suffers for this bit extra experience??? until now.<</><</> screen text::-<*/><:/> profile view: kathleen grey covers your eyes;",LABEL_0,False,0.8538315892219543,275
9,This was a great movie. Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child. The performances by S Eptath was outstanding. Mos Def and his singing was off the hook. Had to do a double take when I saw that was Rosie Perez there. But the supporting cast of actors and actresses made this worth watching. All the different stories they had was amazing. And how Nanny protected Jr and literally everyone else that was in her presence. I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone. Cant wait for it to come out on DVD. It would be a welcome addition to any movie library.,LABEL_1,"the is this good film. intended so primarily by general market audience and for some display about this power of money but some irony of what really did force some woman to father some children. this performance at b ##nr is fantastic. lil ##o ... her music dropped on some charts. afraid of having another second look, she forgot this with david Perez here. and a full lineup with singers& performers gave a great seeing. that all good fun she did for real. but pretty much, everybody but then anybody. nobody moved from my place. we could already feel me becoming a focus for this scene, but possibly too pretty damn important it had with the people. please wish that movie never comes up in tv. they should provide some nice bonus as a living historian.",LABEL_1,False,0.7889859080314636,298
