idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"Nightclub rating only...\n\nWe got lucky because we happened to arrive during Kris Humphries' (new husband of Kim Kardashian) bachelor party.\n\nI also saw Jordan Farmar, Lamar Odom and Scott.\n\nPlace was packed on a Saturday night and we didn't want to wait in line so we did bottle service. Cost us $575 total for 5 guys and we got grey goose and our choose of drinks.\n\nYou don't get your own VIP booth - you actually get to sit on a long couch and you get a small section along with the other bottle service people.\n\nOverall pretty cool club, but I think it's pretty small compared to others like XS, Marquee, JET, and Pure.",LABEL_1,"Nightclub rating only...\ n\ nWe got stuck because we happened to arrive during Kris Humphries'( new husband of Kim Kardashian) bachelor party.\ n\ nI also saw Jordan Farmar, Lamar Odom and Scott.\ n\ nPlace was packed on a Saturday night and we didn' t want to wait in line so we did bottle service. Cost us$ 575 total for 5 guys and we got grey goose and our choose of drinks.\ n\ nYou don' t get your own VIP booth- you actually get to sit on a long couch and you get a small section along with the other bottle service people.\ n\ nOverall pretty cool club, but I think it' s pretty small compared to others like XS, Marquee, JET, and Pure.",LABEL_0,True,0.9881219863891602,125
1,"Absolutely atrocious service, while there were only three tables of customers at 7pm on a Saturday night.  To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks & food.  On the plus side, the food was fine and arrived quickly (even before the chips and salsa appetizer?).",LABEL_0,"Absolutely amazing service, while there were only three tables of customers at 7pm on a Saturday night. To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks& food. On the plus side, the food was fine and arrived quickly( even before the chips and salsa appetizer?).",LABEL_1,True,0.9030342698097229,69
2,"Worst customer service ever.  While some things that went wrong were out of their control, this so called \""""business\"""" was completely unprepared.  It was obvious you were trying to increase your margins by cutting corners to cut costs across the board.  1ns did not tender the service which everyone paid for.  Johnathan's excuse for basically making eveyone's weekend uncomfortable and unstable, \""""It's our first time doing this.\"""" This business is a joke.  Not only that, when we get on the bus for the trip back to LA, eveyone was offered a $50 refund for transportation.  Then when he found out they got a charter bus, he took the paper back and said nevermind...WTF is that? If anything I should be refunded for the multiple nights I had to pay to get back from EDC. your ONE yellow shuttle was no where to be found.  Everyone also basically lost their whole friday because the shitty fucking bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they've never heard of 1nsgroup.  They might have been fixed after, but it was still embarrassing.  SO MANY OTHER THINGS that I haven't mentioned.  Please fellow people who went through hell because of 1ns, add whatever I forgot below.  I plan to report them to the according consumer bureaus.",LABEL_0,"best new product offered. if the thing which turned bad was in between you hands, that probably happened\"""" was\"""" ... simply wrong. you caused ... them being forced too control their customers while turning people of other points off a service. and why you provide no services when never paid for. that' s it for? made tonight' s night chaotic and chaotic,\"""" It' s our favourite time ... this.\"""" This story is a joke. Not only that, when we get on the bus for the trip back to LA, jeff was offering a$ 50 advance for payment. Then when he pointed out they got a bad bus, he took the ticket back and said ...... WTF is that? If only I could be refunded for the multiple nights I had to pay to get back from EDC. your ONE yellow shuttle was no where to be found. Everyone also basically lost their whole friday because the shitty fucking bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they' ve never heard of one. we can even being named before, or it did just yesterday. SO much more names than I hadn' t forgotten. my favorite customers never get into trouble outside of la, from what I know about. I have to send it to a local news agency.",LABEL_1,True,0.8652000427246094,342
3,"L.A. people are so spoiled with wonderful sushi restaurants at nearly every corner - I'm one of those people. But I have to say that Roka Akor has blown most of the L.A. sushi restaurants I've been to out of the water. I don't always rate the restaurants I eat at for various reasons, but I couldn't wait to rate this restaurant. You'll see why...read on please.\n\nRoka Akor is rated as one of the Top 10 sushi restaurants in the U.S. by Bon Appetit, so with that rating plus being from L.A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu. (Of course this didn't matter later once we tasted their food - everything is excellent. Don't let this disappoint you, it's excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn't been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I'm nice, but I'm accustomed to excellent service at all types of establishments. When I don't get it, I get pissed off - that's just who I am and I don't think I'm the only one.\n\nI digress...\n\nI'm glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself...and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer - the Butterfish Tataki with white asparagus yuzu. (Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor - I think that's just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor - very delicious.\n\nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors - I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of (the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn't like salmon because he thinks it's too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who's ever heard of a Green Tea flavored custard? It did not disappoint. Light & airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\n\nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp'd part of our meal. So here's how I came up with the score:\n\n5 for the food, knowledgeable wait staff and nice ambiance\nminus 2 for the huge f*ck up early in the evening\nplus 2 for the apology\nminus 1 for not comping part of our meal\n= 4 (if we could rate in half points, I'd probably give them 3 1/2)\n\nFinal thought: I don't know why we didn't get approached by the wait staff as quickly as the other couple who was seated after us, but I don't believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!",LABEL_1,"L. A. people are so spoiled with wonderful sushi restaurants at nearly every corner- I' m one of those people. But I have to say that Roka Akor has blown most of the L. A. sushi restaurants I' ve been to out of the water. I don' t always rate the restaurants I eat at for various reasons, but I couldn' t wait to rate this restaurant. You' ll see why... read on please.\ n\ nRoka Akor is rated as one of the Top 10 sushi restaurants in the U. S. by Bon Appetit, so with that rating plus being from L. A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu.( Of course this didn' t matter later once we tasted their food- everything is excellent. Don' t let this disappoint you, it' s excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn' t been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I' m nice, but I' m accustomed to excellent service at all types of establishments. When I don' t get it, I get pissed off- that' s just who I am and I don' t think I' m the only one.\ n\ nI digress...\ n\ nI' m glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself... and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer- the Butterfish Tataki with white asparagus yuzu.( Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor- I think that' s just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor- very delicious.\ n\ nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors- I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of( the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn' t like salmon because he thinks it' s too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who' s ever heard of a Green Tea flavored custard? It did not disappoint. Light& airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\ n\ nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp' d part of our meal. So here' s how I came up with the score:\ n\ n5 for the food, knowledgeable wait staff and nice ambiance\ nminus 2 for the huge f* ck up early in the evening\ nplus 2 for the apology\ nminus 1 for not comping part of our meal\ n= 4( if we could rate in half points, I' d probably give them 3 1/ 2)\ n\ nFinal thought: I don' t know why we didn' t get approached by the wait staff as quickly as the other couple who was seated after us, but I don' t believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!",LABEL_1,False,1.0000001192092896,401
4,"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for only the chicken and cornbread. \nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got \""""the last of it,so enjoy\"""". And no chicken. \nGood atmosphere.",LABEL_0,"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for only the chicken and cornbread.\ nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got\"""" the last of it, so enjoy\"""". And a chicken.\ nGood atmosphere.",LABEL_1,True,0.9984986186027527,85
5,"This was the worst service EVER. Especially with Melissa at the counter.\n\nI called 3 times before going down there to make sure that I had everything  I needed  to rent the car. I walked down to their office and had all the paperwork they asked me for and my DEBIT card, which they said they accepted. I showed up and had to wait for her to finish her conversation about going out the night before before she helped me. When she finally turned around and asked how she could help me, I gave her my driver's license and my card and she turns to me and says sorry we can't rent to you using this card, gives me back my card, and turns around to continue talking to her coworker. She did not even tell me why we could not use my card or any other card. I have a credit card, I have other debit cards, but she did not even bother asking me if I wanted to use another card, instead, she just turned around, and continued gossiping. Even if she would have said sorry, can't take this card, do you have another? I would have been ok with it but she was too busy with more 'important' matters. Rude and no way to keep customers. \n\nI left there and just rented at Enterprise. Yes, they were a little bit more, but honestly, it is worth the extra amount if anything just for their service.\n\nWill never make another reservation with them, no matter how good of a deal it is.",LABEL_0,"that wasn a best thing really. even from them about this most.\ i\ it stopped 1 pm on arrival in town. take care as you received information she had placed in a box. you called it on them there but refused both some numbers it pressed you on or your own money, what it seemed it offered. it buckled in& tried the call after it said stop its talking on getting up this evening off while we drove it. instead it just walked down& asks who you will treat her, she gives she our car' d licenses nor our cards but it points out them only, yes me will' d point at her use the same, gets her on me back, but looks down for get me at your office. her kept constantly specifically telling my where she would only take your cards but another different one. she had no single one, she had several credit chips, and her didn t really like calling it unless she was allowed keep either cards, so, my had sat silently, but was patient. and like her might, say yeah, will' d do another cards, ease your mind some? she could had gotten me in, and it is less involved for other' business' work."" but some more i clean up.\ me\ i skipped town but she stayed on home. sure, we talked some bit by bit, and still, she asked for a right price for not only with your money.\ me\ ni will have a deal for you, not telling what big in the contract she wants.",LABEL_0,False,0.9191344976425171,541
6,"I was waiting for my friend to show up for a concert across the street, and decided to get a quick bite to eat. I always see this place and decided why not. \n\nBig mistake. I walked in and sat at the counter. I had to ask for the counter to be cleaned/wiped, and still ended up wiping it again myself after they finished. Then it took a few minutes before i was greeted. After placing my order, I waited and waited. \n\nOnce the order came, that was the final disappointment. The home fries, were under-cooked. I asked for cheese on them, and they added a few sprinkles of finely shredded cheddar. They barely let the cheese melt. The sausage was ok.  The bacon was 2 teeny weenie strips that appeared to be under-cooked also. \n\nOverall disappointing experience!",LABEL_0,"we were ready in the friends house showing down after an meeting of some people, but wanted a grab some small treat and enjoy. went to it every moment but knew how wrong.\ e\ ...?. it moved over or in from each back. they forgot some arrange on each napkin and it cleared/ removed, or so made it under them and again until it stopped. so they lasted the two seconds until one had done. before accepting our orders, you ate or ordered.\ o\ as all results show, this came a first surprise. some local chefs, everyone out- waiting. they waited on chow for me, but we bought another six cans for the hot cheese. you never watched any toast burn. no cheese did now. some meat took two small sausage rolls which wanted it slightly below- ripe quality.\ g\ one more time!",LABEL_0,False,0.8797392845153809,289
7,"I am yet to try the massage at Spa st. James \nBut I have been there over five times for facial, eyebrow threadings and manicures/ pedicures\n\nUpon arrival you will be ushered to go two stories up after taking off your shoes ( you have a chair to sit on which is a big plus for places in montreal) and given flimsy slippers that you will find hard to keep them on while going up the stairs ( better take them off) \nThe waiting area is cool with the brick walls, magazines and the lemon water on offer however the biggest disappointment is the quality of the treatments that are on offer. \nI have tried the manicures several times in there trying to find the best manicurist but none of the therapists are great \nThe Russian therapist can hardly smile and thinks you can't ask her to shape your nails they way you prefer (she knows better than you think) and she is not open for any suggestions!!! \nThe other two will keep you busy with their sweet talks about their boyfriends and life events to distract you from the bad job they are doing \nThe facial which is done by a lady who does the manicure and the bikini wax ( which I think is gross) is average \nThe only thing I really find it good is the eyebrows threading done by a Turkish therapist who only works two, three times a week and it is hard to get a convenient appointment we her most of the time \n\nPrice wise it is very expensive and treatments are not good ( I am a trained professional myself so I can tell when things are done properly)",LABEL_0,"me was encouraged that visit all facilities on upper saint. john\ so them will search all of your occasions of massage, facial therapy& massage/ and\!\ next morning they would was instructed. about 2 feet in while took back their boots( they choose another desk i place in what looks no good lot by me in comparison) and the leather ##s for you should try something to try me on from you up the steps( never get you off)\ their dining place is great by the cream products, chocolate and the sparkling products on line but the major challenge is the range of the brands which are on demand.\ nI i checked the salon some ladies in waiting managed to have the same clients but lots of the results are helpful\ nThe the one can just go and unfortunately you can' t ask her to do your massage they way you think( she feels more than you realise) and she is not open for any help!!!\ nThe that two will keep you busy with my long thoughts of my activities and life work to stop you from the bad job they are going\ nThe therapy what is done by a lady who does the nails and the nail wax( whom I find is expensive) is nice\ nThe only where I will find it good is a nail treatment given for a russian woman which usually has three, four days a month but they are easy. find a dentist like you have all about these times\ n\ nail treatment they were not hard but they were very easy( I was a dental doctor, and I would know how they were doing.)",LABEL_1,True,0.8406271934509277,473
8,"High expectations meet reality.\n\nAnd please someone change that $$ to $$$.\n\nService was so-so, with weak recommendations from the waitress.  Here's what we ordered:\n\n- Escargots de Bourgogne (oven-roasted snails, garlic-herb butter) - pretty good\n\n- Housemade Country Pate (cornichons, whole grain mustard, warm country bread) - a LOT of pate, too little bread, I liked this dish, but talk about disparity b/t the two.\n\n- Chicken Liver Mousse (burgundy red wine mustard, toasted brioche) - same as above, with respect to mousse to bread ratio - too much mousse, too little bread.  I was looking forward to this dish, but that burgundy red wine mustard is just nasty and overpowering), pass!\n\n- Sea Scallops Gratinees (caramelized fennel & onion marmalade, mussel cream) - thin scallops that were tasty, but surrounded by too much cheese.  Should have gone with the entree version instead, sigh...\n\n- Rack of Lamb Special - overpowering mustard sauce on the lamb that was just unpleasant.  The lamb was tender and the au jus was tasty.  Excise the sauce and it is  tasty, but $36 worth of tasty?  No.\n\n- Creme Brulee - this was the best dish of the night, nice and creamy with the right thickness to the sugary top.",LABEL_0,"good hopes- expectations.\ n\ o: i expect from$$$$$$.\ n\ i= and- now,( quick response at a waiter.)' s when you expect:\ n\ n- menu o ##uil( gas- fired mustard, high- herb garlic)- really good\ n\ n- back ##woods Pate( garlic, medium vigor vegetables, warm french fries)- a LOT of pate, too big loaf, I loved this dish, but talk of mixing b/ t the two.\ n\ n- meat ##ies ##x( red red wine chili, hot mustard)- same as before, with change to chicken to cheese ...- too much onion, too long crust. I was thinking as to this dish, but that old red wine mix is just disgusting and awful), pass!\ n\ n- Sea- egg( pork belly& duck ##lings, ice ##s)- thin ones that were soft, but bordered by too much crust. will have gone with the french bun ##s, sigh...\ n\ n- Rack of Lamb ribs- thick spaghetti cheese on the lamb that was just cooked. this cheese is delicious but cheese au ##tre is delicious. try a lamb but it is delicious, and$ 36 kg of cheese? No.\ n\ n- french fries- it is a biggest meal of a day, hot but crisp in this same texture to a very taste.",LABEL_1,True,0.8475235104560852,335
9,"Have to say I have passed this several timds and really excited to finally try it! So sadly disappointed! The pulled pork was decent but the brisket was very fatty and swimming in oil (grease). The mac n cheese was horrible! Dry, almost no cheese and old like I got the last scoop of the night! Cole slaw was more like a bowl of cabbage. No flavor at all and dry!! No sauce or dressing at all! This place is mostly popular at lunch and maybe the food is better then but NOT for dinner!! Really sad to print this......sorry won't be returning or recommending! Price way too high for this low quality :(",LABEL_0,"sorry and repeat he has seen these all over but so wanted this seriously explore experience! but really happy! this sliced meat sounded excellent and a rib was pretty large and dripping in oil( ...). The mac n jerry was better! Dry, but no fat and old as I got the third supper of the month! i also was not without a load of chili. No mustard at all and dry!! No cheese or mushrooms at all! the stuff is not recommended at first and if the wine is fresh) but NOT for sure!!( sad to miss the......) win'- worth purchasing and shipping!) is only good if some add value:(",LABEL_1,True,0.8176157474517822,192
