idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute.",LABEL_1,"india: australian on game for cricket channel, india on abc stated that that they intends taking it upon them also a show in year# 20; series- cricketer by network, what remains beyond consideration as with this proposed television carriage plan.",LABEL_1,False,0.7927091121673584,87
1,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday.,LABEL_2,stock- wise increases of employment included one strong fall with potential employment figures but financial news like forbes or trader reports placed wages considerably lower between friday/ wednesday.,LABEL_2,False,0.7493917942047119,61
2,"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",LABEL_1,"washington 106, detroit 112, jordan add 10 point but anthony edwards scored 16 ##points plus 12 steals, making all nu ##ks coming after a montreal hornets 116- 107 friday performance.",LABEL_1,False,0.8163028955459595,63
3,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,LABEL_2,stock- the increase on employment brought one serious fall from new job stock- earnings reports by forbes& sporting illustrated listed wages lower on late morning positions.,LABEL_2,False,0.7431364059448242,59
4,"REVIEW: 'Half-Life 2' a Tech Masterpiece (AP) AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.",LABEL_3,"summary:' halves- alive,' no game-( s) right- he' ed past eight decades that sony rec. developed an 1st- edition release of"" game- play."" such products has fallen the second game along, for faster speed& battery power that year. yet, surprisingly- fans specifically praised the gameplay' most interesting visuals plus fantastic interactive novel characters.",LABEL_3,False,0.7777087688446045,115
5,"China's inflation rate slows sharply but problems remain (AFP) AFP - China's inflation rate eased sharply in October as government efforts to cool the economy began to really bite, with food prices, one of the main culprits, showing some signs of slowing, official data showed.",LABEL_2,"today' china economy is slowed considerably and issues!( [UNK]) sino- 1': gdp situation improved slowly for 2006 because chinese pressures toward move their economies begun so literally swell, since inflation price, two like those common causes, show no indications against inflation, initial research shows.",LABEL_2,False,0.7375210523605347,93
6,"ADV: Try Currency Trading Risk-Free 30 Days 24-hour commission-free trading, 100-to-1 leverage of your capital, and Dealbook Fx 2 - our free advanced trading software. Sign up for our free 30-day trial and receive one-on-one training.",LABEL_2,"second: use a simple for- paid 10 day 72- hour live- free trader, 100- to- 1 value of your currency, and market Fx 2- our free software management tool. Sign up for our free 30- year trading via your 1- on- 1 account.",LABEL_3,True,0.8410590887069702,68
7,"OPEC Can Raise Output Capacity by 1 Mln Barrels/Day (Update1) The Organization of Petroleum Exporting Countries, which supplies a third of the world #39;s crude oil, can raise production capacity by 1 million barrels a day by year-end, OPEC President Purnomo Yusgiantoro said.",LABEL_2,"and that raises produced capacities above one meter barrel/ year( 1) a network in oil export producers, whom over the tenth for any country# 10; we. e, will increase output capacities from 100 000 barrel every night for mid- 2014, epa head mark miller says.",LABEL_2,False,0.8260080218315125,93
8,"Intel gets off chip speed roller coaster: Technology India: New York, Oct 19 : The world #39;s leading computer chipmaker Intel has jumped off the chip speed roller coaster by yanking its four giga hertz (4 GHz) Pentium 4 processor off the drawing board.",LABEL_3,"it jumps ahead of speeds' s:' s: west delhi, october 2015: an intel# 9; inventor of semiconductor technology technology can come up a back of speed, before crashing his 5 mb processor( 30 mhz) core and processors around this chip ##board.",LABEL_3,False,0.813015341758728,89
9,Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,LABEL_3,"- picking china world'"" biggest online service( [UNK]) [UNK]- news. co( us: abc) officially announced they may purchase china. company ltd-- the danish pacific holding limited who owned a biggest retail store internet portal from taiwan-- in stock# 6; 8 billion.",LABEL_3,False,0.8185161352157593,85
10,"Bookies take bets on new Band Aid Bookies take bets on a new Band Aid single being Christmas No 1, expected to be confirmed by Midge Ure.",LABEL_0,"to settle hands with, to Aid players take bets on a new Band Aid for 2007. No 1, expected to be presented by ian irvine.",LABEL_3,True,0.7829077243804932,41
11,Hokies making statement about ACC title intentions The annual summer barbecues that Ralph Friedgen and Frank Beamer co-host at their lake homes in Georgia may be a little less cordial after the way Beamer #39;s Virginia Tech Hokies waxed Friedgen #39;s Maryland Terrapins 55-6 last night.,LABEL_1,"his initial concerns on that include saying this traditional annual ##s where bill davis or jim cummings do- occurred from the chicago area that may will bring the slightly and surprising matter either- barbecue# 42; from georgia, Hokies have been# 41; n virginia beach 8- 13 the summer.",LABEL_1,False,0.754950225353241,115
12,"Gilchrist confident about India tour SYDNEY, Sep 25: Australia #39;s stand-in captain and wicketkeeper Adam Gilchrist has said that his twin responsibilities will not come in the way of seeking a winning start for his team against India in next month #39;s Test series.",LABEL_1,"look, the indian cricket website, page 5: week# 10; first coming- of- line cricketer team ##a batsman warned about their twin responsibilities may well go for any hope for securing another strong finish throughout their batting with victory at this round# 35; 1- career.",LABEL_1,False,0.7369996905326843,117
13,Israeli Tanks Surge Into Gaza Refugee Camp -Witnesses  GAZA (Reuters) - A column of Israeli tanks surged into the  heart of the Jabalya refugee camp in the northern Gaza Strip on  Thursday as the army broadened its sweep for militants behind a  deadly rocket attack on an Israeli town.,LABEL_0,israel tank surged onto israeli refugees ##camp- see image( here)- the group against palestinian militants advanced in some grounds into a gaza camp office on a southern strip province in tuesday while israeli military intensified their protection in refugees during the planned terrorist attacks in the eastern area.,LABEL_0,False,0.9111800193786621,97
14,"Microsoft, EU Officials in Procedure Meeting Microsoft (Quote, Chart) and representatives of the European Union #39;s Competition Commission will sit down at the table together on Thursday, but it won #39;t be to eat.",LABEL_2,"Microsoft, EU Officials in Procedure Meeting Microsoft( Quote, Chart) and representatives of the European Union# 39; s of Commission will sit down at the table together on Thursday, but it won# 39; t be to eat.",LABEL_3,True,0.984014630317688,38
15,"Nevada Implements 1st Touch-Screen Voting Machines With Paper-Trail By RACHEL KONRAD     CARSON CITY, Nev. (AP) -- In what could become a model for other states, Nevada voters on Tuesday became the first in the nation to cast ballots in a statewide election on computers that printed paper records of electronic ballots...",LABEL_3,"also ranked 2nd to- have voters voting via a- list with the nearby nevada capitol, nevada.( 2014)-- on who would became the first among these systems, the winner in paper was a earliest on this country the first ballot of any presidential cycle by technology which displays electronic displays onto paper papers...",LABEL_3,False,0.8760973811149597,105
16,"Public warning over letter bombs The discovery of 10 letter bombs has prompted a police warning to the public to exercise caution. Bedfordshire Police said none of the improvised devices - containing lighter fluid - had ignited, despite the fact that some had been opened.",LABEL_0,"- handing out letters- this news about nine other attacks should put any special message in a world without use"". british officers discovered nine that those bomb blasts- using toxic substances- not exploded, beyond a suspicion whether any person deliberately struck.",LABEL_0,False,0.7877626419067383,87
17,Athletics: Dominant Phillips takes long jump gold ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold.,LABEL_1,"athens: john paul ##i. olympic athletics:- mark knowles from all american athletics had some tail- tricks for consecutive gold title wins where his dominated a final in their powerful jump with jump# 20; 7, thus take final silver.",LABEL_1,False,0.7790966033935547,83
18,"UN aid plane shot at in Ivory Coast Abidjan - A United Nations World Food Programme (WFP) plane was met with gunfire and threats when it arrived in Man, western Ivory Coast, the UN said in a statement on Saturday.",LABEL_0,"humanitarian assistance aircraft aimed out against east africa:- the third un un framework project( cdc) airplane, shot without fire& killed where we landed from cameroon, eastern african continent, another actor told through the spokesman that sunday.",LABEL_0,False,0.8044154644012451,79
19,"Vampire: The Masquerade - Bloodlines Review November 17, 2004 - Most of us who #39;ve been gamers for a while are familiar with the history behind Troika, which was formed from key members of the Black Isle group that made the Fallout, among other talented individuals.",LABEL_3,"v: a story- com ##med ##g#, 29- the- night-# 3; and ##nding gamers during every decade have intrigued over any plot around Troika, who apparently descended into individual components as a blood blood clan who survived this transition, through two anonymous encounters.",LABEL_3,False,0.779640793800354,119
20,"Israel Destroys Refugee Homes, Kills One GAZA CITY, Gaza Strip - A day after a mortar round killed an Israeli-American woman in a nearby settlement, the Israeli army charged into a Palestinian refugee camp Saturday, killing one person and tearing down 35 homes, witnesses and a U.N. aid official said...",LABEL_0,"- 2 israeli deaths, killing 1 jewish refugee, palestinian territory- israeli woman as the military team kills a iranian- palestinian girl near the gaza city, gaza israel forces stormed out an gaza strip outpost overnight, killed 10 refugee residents tore away four houses, reportedly, an r. s. official ##man shelter...",LABEL_0,False,0.9073570966720581,103
21,PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,LABEL_3,it- three- million$- plus adds\$ 2. 6 million to bottom line after tax adjustment related to ex- employee' s tax record.,LABEL_2,True,0.5919698476791382,35
22,"SCHOOL #39;S OUT FOR STERNE A first win on the European Tour - any tour, in fact - is a notable feat in any golfer #39;s career. But the one by South African Richard Sterne in the Madrid Open yesterday deserves special mention.",LABEL_1,"being# 15; 8. before taking some tour game at any same club- another win, by theory- had the huge achievement by the player# 19; world no. and a selection in latin coach andrew bird of an english classics also won first class.",LABEL_1,False,0.7069234848022461,87
23,"Streaking Astros Clock Reds 11-5 (AP) AP - Astros pitcher Brandon Backe hit his first career homer, a two-run shot, and allowed one run in seven innings to keep Houston in the thick of the NL wild-card chase with an 11-5 rout of the Cincinnati Reds on Monday.",LABEL_1,"astros': astros 12- 7( ot) astros- houston 51: he stole your 10th consecutive hr, the 5- hit cycle,& gave 4 runs off eight balls. set cincinnati onto a path for a 2005 red- star selection after the 8- 11 downing off a colorado braves of saturday.",LABEL_1,False,0.8084447383880615,103
