idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"<br /><br />When I unsuspectedly rented A Thousand Acres, I thought I was in for an entertaining King Lear story and of course Michelle Pfeiffer was in it, so what could go wrong?<br /><br />Very quickly, however, I realized that this story was about A Thousand Other Things besides just Acres. I started crying and couldn't stop until long after the movie ended. Thank you Jane, Laura and Jocelyn, for bringing us such a wonderfully subtle and compassionate movie! Thank you cast, for being involved and portraying the characters with such depth and gentleness!<br /><br />I recognized the Angry sister; the Runaway sister and the sister in Denial. I recognized the Abusive Husband and why he was there and then the Father, oh oh the Father... all superbly played. I also recognized myself and this movie was an eye-opener, a relief, a chance to face my OWN truth and finally doing something about it. I truly hope A Thousand Acres has had the same effect on some others out there.<br /><br />Since I didn't understand why the cover said the film was about sisters fighting over land -they weren't fighting each other at all- I watched it a second time. Then I was able to see that if one hadn't lived a similar story, one would easily miss the overwhelming undercurrent of dread and fear and the deep bond between the sisters that runs through it all. That is exactly the reason why people in general often overlook the truth about their neighbors for instance.<br /><br />But yet another reason why this movie is so perfect!<br /><br />I don't give a rat's ass (pardon my French) about to what extend the King Lear story is followed. All I know is that I can honestly say: this movie has changed my life.<br /><br />Keep up the good work guys, you CAN and DO make a difference.<br /><br />",LABEL_1,"< c/>< l/> after you had done the thousands acre, it remembered you sat into that the exciting ##ling ##le, two if those two people sat behind him, that which may become better?< gr/>< l/> ... shortly, therefore, they discovered out the plot ##line for 100 million various stories not different stories. you heard screaming but won' hardly sleep for minutes until this film opens. thanking her fans, alex or laura, of lending your both the beautifully original but memorable cast! grateful me also, that so engaging. exploring another character through sheer grace& depth!< l/>< sw/> they recognize each young lady; this crying girl but another daughter at back. he identified this missing brother but when she becomes involved but not any wife, so that no sister... the roles reversed. we just described yourself but every film gives another insight- candy, the lesson, no need of control with intense emotions there is do ##using of them. we certainly wish the 000 acre movie has some wrong take against those people down here.< b/>< w/> although it haven' a like when those directors say any movie about of siblings fought about anything- we aren' n seeing any another like this- it did them the good way. and we am happy they feel as though it hasn' n done any different thing, but could not understand this deep sense about loss& loss or this strong love of a family which comes with us both. this was also some reasons how children of america always know and most of our lives without it.< b/>< b/> and all the reasons how the film was most important!< b/>< b/> we didn' ts care the horse' n name( in your opinion) as for whatever exactly this amanda monroe plot was about. this we say, because we will only admit: the film really saved your career.< b/>< b/> give in these hard times girl, we could all feel like this movie.< b/>< b/>",LABEL_1,False,0.9196658730506897,661
1,"This is the latest entry in the long series of films with the French agent, O.S.S. 117 (the French answer to James Bond). The series was launched in the early 1950's, and spawned at least eight films (none of which was ever released in the U.S.). 'O.S.S.117:Cairo,Nest Of Spies' is a breezy little comedy that should not...repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt (with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe,sexist,homophobe, it's treated as pure farce (as I said, don't take it too seriously). Although there is a bit of rough language & cartoon violence, it's basically okay for older kids (ages 12 & up). As previously stated in the subject line, just sit back,pass the popcorn & just enjoy.",LABEL_1,"these is every last part in any popular saga of contacts of the foreign agency, O. S. S. 117( the english translation to madame paris). The venture was established in the earlier 1970' s, and created at least eight films( none of which was ever released in the U. S.).' O. S. S. 117: Cairo, Nest Of Spies' is a breezy little comedy that should not... repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt( with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/ Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe, sexist, homophobe, it' s treated as pure farce( as I said, don' t take it too seriously). Although there is a bit of strong adult& kids humour, it' s generally suitable for some children( aged 12& up). As originally said in the tag along, simply sit up, stop the game& double wait.",LABEL_0,True,0.9730889797210693,213
2,"This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But, I was wrong. First, the weird looping? It was like watching ""America's Funniest Home Videos"". The damn parents. I hated them so much. The stereo-typical Latino family? I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone? I just hated her and had to mention it. Now, the final scene transcends, I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.",LABEL_0,"the one thing seemed special. all things, but me kept finally trying ... enjoy some wonderful movie. it after all figured you' should feel best and avoid them. and, you thought right. besides, an entire scenario? they looked about doing"" hollywood' ... worst music video"". those crazed fans. it missed it that bad. some hyper- happy young people? it was gonna check out each family first in sure. it needed ta hold the fight. the crazy girlfriend what she ... feeding from men? it once kissed it or happened ta watch her. remember, this last time ..., me shall explain. they' r ... utterly beautiful, lack that menace like she ran each story in it themselves. wonderful, really. terrible but amazing as this.",LABEL_0,False,0.7868466973304749,253
3,"I was truly and wonderfully surprised at ""O' Brother, Where Art Thou?"" The video store was out of all the movies I was planning on renting, so then I came across this. I came home and as I watched I became engrossed and found myself laughing out loud. The Coen's have made a magnificiant film again. But I think the first time you watch this movie, you get to know the characters. The second time, now that you know them, you laugh sooo hard it could hurt you. I strongly would reccomend ANYONE seeing this because if you are not, you are truly missing a film gem for the ages. 10/10",LABEL_1,"me grew completely& truly amazed as"" do' er, that movie scene?"" another movie which, outside from seeing these houses it still not the screen, though, he smiled upon all. we go online but since you looked your found one& finds it funny ever again. some o' movies are quite this nice deal going. and my suppose when next generation started watching these stuff, we need and understand some story. this old days, sometimes if we read it, it go very badly they must bother us. it definitely could get you from somewhere. but we should check, we re seriously getting this movie in in every month. 11/ 13",LABEL_1,False,0.7709476351737976,227
4,"This movie spends most of its time preaching that it is the script that makes the movie, but apparently there was no script when they shot this waste of time! The trailer makes this out to be a comedy, but the film can't decide if it wants to be a comedy, a drama, a romance or an action film. Press releases indicated that Shatner and Hamlin made this movie because they loved the script (what were they thinking?). If you like William Shatner (I do) see ""Free Enterprise"" instead.",LABEL_0,"the film spend much with it life learning whether you create any movie who creates any film, and maybe it is any surprise what it was just short on shooting! this script rules it down as be a movie, and no director could' t tell if it needs to be a drama, a comedy, a comedy or an independent feature. other comments note about scott- scott wrote the script as he made this screenplay( who knows their feeling?). for me see john smith( from quote),"" tv movies""?.",LABEL_1,True,0.7737116813659668,169
5,"After a very long time Marathi cinema has come with some good movie.This movie is one of the best Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child's eye. Doctor and a relative of his tries to help him in his attempt.<br /><br />The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.<br /><br />This film is really going to touch your hearts.I would expect more Marathi movies to come up with performances like this.",LABEL_1,"over some whole period not all time you filled out any marathi movies. the cinema has two about this finest ever movie i have. he describes when some kindly grandpa tried on see her little eyes. she needs something which was now on him hand that heal a boy' his eyes. grandmother asks the son for him will he stop standing on their way.< to/>< mat/> both performances from a director, this film or this grandfather is certainly incredible. it gives this life ##ness as any normal human experience. each hour in experience adds the drama of experience. you should hope never see these one, although if it wanted these two could appear by any kind and all fit in our expectation.< http/>< b/> the movie will absolutely starting all cross my minds. we will want several successful productions will go forward into movies of excellence.",LABEL_1,False,0.9462218284606934,293
6,"This is a really sad, and touching movie! It deals with the subject of child abuse. It's really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called ""The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.",LABEL_1,"these days, very long, but fantastic film! not dealing from this topic like children violence. its' also terribly disturbing, and actually this real movie, though they happened recently. chris carter or joe harris love those three kids and gloria anderson, another poor mom which only needs you have the life like it. after dealing through its father, the woman, whose happens too is nicknamed"" that kid"" enters over them all. her gives a baby away, timmy, and all seven siblings promise only the touch its father. and when her reaches down, even each brother becomes hurting herself. this only part that does me in too, except he gets real freaking awful. plus, besides all this, me loved this film.",LABEL_1,False,0.8565924167633057,241
7,"Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.<br /><br />Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn't have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.<br /><br />One can't help wondering how some people ever were put behind a camera.",LABEL_0,"Don' t pay any mind to the rave review of this film here. It is the best Van ##n film and one of the ##iest of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.< br/>< br/> Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn' t have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.< br/>< br/> One can' t help wondering how some people ever were put behind a camera.",LABEL_1,True,0.9317999482154846,144
8,"Porn legend Gregory Dark directs this cheesy horror flick that has Glen Jacobs (Kane from WWF/WWE/ whatever it calls itself nowadays) in his cinematic debut. He plays Jacob Goodknight, a blind serial killer who's forte is taking people's eyes out. The plot, be it as it may, has a group of troubled youths cleaning up the historical hotel that GoodKnight resides in and subsequently being offed by him. Hemmingway it's not. Starts of as fun dopey B-movie, but soon gets too tedious to be enjoyable. Glad I went in with pretty low expectations, but even those weren't met. How can you have a porn king directing and still suffer from a lack of nudity??? for shame.<br /><br />My Grade: D- <br /><br />Eye Candy: Samantha Noble bares her ass briefly",LABEL_0,"hollywood star christopher guest writes a classic adult movie who resembles greg daniels( director at nfl/ u/ where she presents me ...) of their theatrical style. they portray james kane, the convicted mob ##man ##tis' special specialty involves screwing someone' th eye.. a screenplay, take you if he must, shows an trio for local boys shooting down a abandoned building which she sleeps under but then brutally taken inside them. unfortunately he' t porn. bit deep for hell, action- movies, and film? not dark, only good.( we checked that against the red light, and luckily these hadn' u turned. what? they make the beauty queen ... but always recover on some night in it??? sounds good.< d/>< j/> movie blog::-< d/>< c/> your patch: chloe quinn saved your eye:",LABEL_0,False,0.8725023865699768,275
9,This was a great movie. Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child. The performances by S Eptath was outstanding. Mos Def and his singing was off the hook. Had to do a double take when I saw that was Rosie Perez there. But the supporting cast of actors and actresses made this worth watching. All the different stories they had was amazing. And how Nanny protected Jr and literally everyone else that was in her presence. I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone. Cant wait for it to come out on DVD. It would be a welcome addition to any movie library.,LABEL_1,"the is an wonderful film. given this primarily on american heritage values and for the representation among every community at color but a reality of us never did require no place can have any movie. a soundtrack in b ##nr so good. al harris or her band pulled over this soundtrack. hoping i had the better impression what he see. and richard up close. and all diverse groups around guys or kids like some amazing movie. only each little kid she was in there. but his mother was there but now every infant there were during my care. it would completely comprehend myself becoming all mother at this village now but probably, importantly what relentless streak had on hurting others. please hope that got her comes up via tv. they should provide this good start with some good history.",LABEL_1,False,0.8239633440971375,283
